Date,Open,High,Low,Close,Adj Close
2021-12-23,9854.57,9931.33,9854.57,9900.3,9900.3
2021-12-22,9742.12,9840.8,9733.9,9838.9,9838.9
2021-12-21,9625.07,9742.73,9600.52,9738.73,9738.73
2021-12-20,9609.54,9609.54,9490.58,9567.91,9567.91
2021-12-17,9744.76,9774.2,9635.95,9678.03,9678.03
2021-12-16,9883.76,9910.21,9743.39,9778.09,9778.09
2021-12-15,9710.22,9868.89,9657.38,9863.92,9863.92
2021-12-14,9723.7,9760.21,9647.46,9705.06,9705.06
2021-12-13,9863.22,9863.22,9774.32,9776.69,9776.69
2021-12-10,9815.56,9869.7,9779.29,9866.62,9866.62
2021-12-09,9822.49,9831.42,9771.57,9773.19,9773.19
2021-12-08,9821.02,9850.63,9787.08,9842.68,9842.68
2021-12-07,9697.52,9827.28,9697.52,9812.2,9812.2
2021-12-06,9522.37,9656.51,9506.46,9613.02,9613.02
2021-12-03,9608.19,9646.98,9410.82,9501.28,9501.28
2021-12-02,9430.31,9619.96,9430.31,9581.79,9581.79
2021-12-01,9634.11,9738.92,9443.2,9446.21,9446.21
2021-11-30,9711.62,9723.29,9544.47,9558.33,9558.33
2021-11-29,9686.3,9778.71,9679.16,9741.78,9741.78
2021-11-26,9760.75,9760.75,9595.2,9614.25,9614.25
2021-11-24,9783.85,9840.22,9750.71,9837.6,9837.6
2021-11-23,9789.09,9832.07,9735.08,9814.65,9814.65
2021-11-22,9859.07,9925.67,9797.04,9798.29,9798.29
2021-11-19,9850.73,9870.1,9821.25,9828.8,9828.8
2021-11-18,9834.35,9851.25,9776.65,9842.35,9842.35
2021-11-17,9835.11,9835.11,9799.36,9808.27,9808.27
2021-11-16,9787,9861.11,9787,9831.91,9831.91
2021-11-15,9807.11,9823.76,9773.24,9793.53,9793.53
2021-11-12,9735.49,9804.69,9726.29,9793.22,9793.22
2021-11-11,9743.23,9753.17,9720.18,9722.08,9722.08
2021-11-10,9765.96,9796.31,9683.8,9716.72,9716.72
2021-11-09,9841.12,9843.27,9765.26,9795.12,9795.12
2021-11-08,9828.35,9856.42,9813.56,9828.81,9828.81
2021-11-05,9823.6,9863.59,9786.18,9819.98,9819.98
2021-11-04,9746.69,9788.64,9746.29,9782.48,9782.48
2021-11-03,9677.93,9746.13,9658.34,9740.47,9740.47
2021-11-02,9641.76,9687.07,9641.76,9677.95,9677.95
2021-11-01,9636.06,9656.38,9603.77,9642.44,9642.44
2021-10-29,9557.09,9630.58,9547.97,9625.02,9625.02
2021-10-28,9535.06,9607.34,9535.06,9605.23,9605.23
2021-10-27,9570.9,9579.39,9511.23,9511.27,9511.27
2021-10-26,9567.55,9608.79,9548.2,9559.39,9559.39
2021-10-25,9515.26,9554.58,9481.14,9541.99,9541.99
2021-10-22,9499.42,9527.7,9453.2,9496.86,9496.86
2021-10-21,9470.26,9510.33,9459.2,9506.91,9506.91
2021-10-20,9453.23,9487.45,9453.19,9477.82,9477.82
2021-10-19,9396.55,9444.65,9394.67,9443.12,9443.12
